publish_date,headline_place,headline_state,NCRB_stats,headline_text
20201208,city.chennai,Tamil Nadu,,Chennai: Drunk cop harasses woman; beaten up
20201106,city.chennai,Tamil Nadu,,Tamil Nadu: Most complaints to women's panel were on domestic violence
20200125,city.coimbatore,Tamil Nadu,,City police yet to trace identity of woman found killed in 2018
20201113,city.coimbatore,Tamil Nadu,,80-year-old woman killed for gold; cash in Tirupur
20201202,city.coimbatore,Tamil Nadu,,Woman ; 65; killed in wild boar attack
20200518,city.coimbatore,Tamil Nadu,,Tamil Nadu: Four youths detained for murdering woman; attacking her husband
20200603,city.coimbatore,Tamil Nadu,,Tamil Nadu: Woman hides hubby's murder to save relative
20200625,city.coimbatore,Tamil Nadu,,Skeletal remains of woman murdered in 2014 exhumed
20200906,city.coimbatore,Tamil Nadu,,Coimbatore: Woman murders husband with tenant's help; both held
20200918,city.coimbatore,Tamil Nadu,,Son-in-law held in woman's murder case
20200930,city.coimbatore,Tamil Nadu,,Woman held for murdering hubby
20201002,city.coimbatore,Tamil Nadu,,62-year-old woman murdered for gain
20201014,city.coimbatore,Tamil Nadu,,5 arrested for murdering elderly woman for gold
20201015,city.coimbatore,Tamil Nadu,,Mastermind behind woman's murder surrenders in court
20201022,city.coimbatore,Tamil Nadu,,Coimbatore: Transwoman entrepreneur found murdered in her house
20201023,city.coimbatore,Tamil Nadu,,Youth held in transwoman murder case
20200125,city.coimbatore,Tamil Nadu,,City police yet to trace identity of woman found killed in 2018
20201113,city.coimbatore,Tamil Nadu,,80-year-old woman killed for gold; cash in Tirupur
20201202,city.coimbatore,Tamil Nadu,,Woman ; 65; killed in wild boar attack
20201030,city.coimbatore,Tamil Nadu,,Tamil Nadu: 62-year-old woman raped; strangled near Hosur
20201204,city.coimbatore,Tamil Nadu,,Coimbatore: 75-year-old woman raped by 32-yr-old daily wage labourer
20200228,city.madurai,Tamil Nadu,,Madurai police nab gang which killed woman 5 years ago
20200701,city.madurai,Tamil Nadu,,Tuticorin custodial deaths: Father; son beaten all night; says TN woman cop
20200109,city.madurai,Tamil Nadu,,Madurai: Woman murdered before her daughters
20200113,city.madurai,Tamil Nadu,,Woman; lover arrested for murdering son
20200207,city.madurai,Tamil Nadu,,Pay Rs 25 lakh to woman whose son was murdered: HC to TN government
20200606,city.madurai,Tamil Nadu,,Two arrested for murder of woman in March
20200727,city.madurai,Tamil Nadu,,Madurai: Woman arrested for murder attempt on hubby
20200809,city.madurai,Tamil Nadu,,Woman found dead; murder for gain suspected
20201023,city.madurai,Tamil Nadu,,CCTV helps solve murder of 62-year-old Madurai woman
20200219,city.madurai,Tamil Nadu,,Woman from Pune killed in accident
20200228,city.madurai,Tamil Nadu,,Madurai police nab gang which killed woman 5 years ago
20200306,city.madurai,Tamil Nadu,,Woman pillion rider; 60; killed in accident
20200201,city.trichy,Tamil Nadu,,Woman robbed of gold chain; house burgled in Trichy
20200219,city.trichy,Tamil Nadu,,Woman from Pune killed in accident
20200128,city.trichy,Tamil Nadu,,Tamil Nadu: Woman abducted; raped and left to starve for two days rescued by kin
20200123,city.trichy,Tamil Nadu,,50% of female sex workers face violence; finds survey
20200308,city.hyderabad,Telangana,17791,Woman killed; cops suspect husband
20200527,city.hyderabad,Telangana,,Hyderabad: Driver; woman killed by kin in two cases
20200621,city.hyderabad,Telangana,,Elderly woman killed; robbed by domestic help
20200628,city.hyderabad,Telangana,,Hyderabad: Woman killed in rock blasting at Kondapur
20200825,city.hyderabad,Telangana,,Woman killed at her house in Dundigal
20201001,city.hyderabad,Telangana,,Auto driver who killed woman for jewellery arrested
20201004,city.hyderabad,Telangana,,Woman killed; body dumped in Vikarabad district
20201106,city.hyderabad,Telangana,,Tribal woman raped & killed; 3 arrested
