publish_date,headline_category,headline_text
20210930,city.nashik,52-year-old woman killed in Ambad road accident
20211001,city.dehradun,Woman; domestic help found killed were hit by heavy object; reveals autopsy
20211006,city.jaipur,Woman; daughter-in-law killed in Churu; one held
20211015,city.rajkot,branded as a witch young woman killed in cold blood
20211021,city.nashik,Nashik: Woman killed in road accident
20211021,city.bareilly,Woman intervenes in scuffle over old dispute; killed
20211023,city.varanasi,Woman; 2 sons among 5 killed in house collapse in Jaunpur
20211023,city.lucknow,Woman; 2 sons among 5 killed in house collapse in Jaunpur
20211024,india,Youth killed over interfaith love in Karnataka; woman's kin detained
20211029,city.ranchi,Woman killed in suspected witch-hunting case in E Singhbhum
20211107,city.jaipur,Woman killed; grandkids injured in explosion while crushing potash
20211109,city.vadodara,Gujarat: Branded as 'witch'; woman killed by husband; father-in-law
20211112,city.vijayawada,AP: Woman; son killed after inhaling rat poison spray
20211124,city.hyderabad,Woman killed by husband's two friends in Telangana
20211125,city.nashik,Woman killed in road accident
20211201,city.kochi,Woman killed; two injured after car rams Metro pillar
20211212,city.vadodara,Woman killed by sloth bear in Gujarat's Dahod
20211212,city.delhi,79-yr-old woman killed at home in Rajendra Ngr
20211219,city.jaipur,Three including woman killed in 2 mishaps in Bayana
20211223,city.bareilly,UP: Woman killed in celebratory firing on son's birthday bash; accused arrested
20211224,city.mumbai,Mumbai: Woman; hotel staff killed as car rams into parked bus
20211226,city.pune,Woman taking husband's body home killed in Pune accident
20211226,city.chennai,Woman turns to woman goon to get hubby killed in Chennai
20211228,city.navimumbai,mumbai raigad woman sarpanch killed naked body found in bushes
20211231,city.hyderabad,Woman killed; hubby & son hurt as lorry hits bike
