publish_date,headline_place,headline_state,headline_text
20211220,city.coimbatore,Tamil Nadu,Woman found murdered; police suspect rape
20210506,city.coimbatore,Tamil Nadu,62-year-old woman killed for gold chain
20210404,city.coimbatore,Tamil Nadu,Pet dog helps catch man who raped woman with learning difficulties
20210912,city.coimbatore,Tamil Nadu,Coimbatore: Search on for man who raped woman; took video of the act
20210501,city.coimbatore,Tamil Nadu,Two held for murdering two women for gold
20210328,city.madurai,Tamil Nadu,Two held for murdering woman; child seven months ago
20210713,city.madurai,Tamil Nadu,Mother; sister held for murdering pregnant woman in Tamil Nadu
20210808,city.madurai,Tamil Nadu,Newly-wed woman murdered by hubby
20210822,city.madurai,Tamil Nadu,Woman police constable murdered; husband arrested
20210929,city.madurai,Tamil Nadu,Plea for CB-CID probe into murder of policewoman
20210226,city.madurai,Tamil Nadu,4 woman; man killed in TN fireworks unit blast
20211213,city.madurai,Tamil Nadu,Lapses in violence cases against dalit women
20210710,city.trichy,Tamil Nadu,Woman robbed at knifepoint in Madurai city
20210803,city.trichy,Tamil Nadu,Woman drugged; robbed by two posing as salespersons
20210920,city.trichy,Tamil Nadu,woman held for murdering daughter 7
20211028,city.trichy,Tamil Nadu,Woman found murdered in Thanjavur was gang-raped
20211029,city.trichy,Tamil Nadu,Woman found murdered in Thanjavur was gang-raped
20211028,city.trichy,Tamil Nadu,Woman found murdered in Thanjavur was gang-raped
20211029,city.trichy,Tamil Nadu,Woman found murdered in Thanjavur was gang-raped
20210202,city.hyderabad,Telangana,Woman killed for 'performing black magic'
20210409,city.hyderabad,Telangana,Hyderabad: Woman returns to hubby after 14 years; killed
20210507,city.hyderabad,Telangana,Telangana: Worker killed for stalking woman
20210902,city.hyderabad,Telangana,Man who killed woman for gold held
20210912,city.hyderabad,Telangana,Telangana: French woman killed; adopted daughter held
20211124,city.hyderabad,Telangana,Woman killed by husband's two friends in Telangana
20211015,city.hyderabad,Telangana,Hyderabad: Woman guard gang-raped; robbed near Himayatsagar
20210202,city.hyderabad,Telangana,Woman gets life term for 4-year-old girl's murder in Hyderabad
20210203,city.hyderabad,Telangana,Telangana: Seven held for 45-year-old woman's murder
20210206,city.hyderabad,Telangana,Woman; paramour held for hubby's murder
20210210,city.hyderabad,Telangana,Two held for woman's murder
